a,b,la,lb
<http://bk.sport.owl#nathan-redmond>,<http://bk.sport.owl#norwich-city>,"nathan redmond"@en,"Norwich City"@en
<http://bk.sport.owl#nathan-redmond>,<http://bk.sport.owl#norwich-city>,"Nathan Redmond"@en,"Norwich City"@en
<http://bk.sport.owl#nathan-redmond>,<http://bk.sport.owl#norwich-city>,"Redmond","Norwich City"@en
<http://bk.sport.owl#nathan-redmond>,<http://bk.sport.owl#southampton>,"nathan redmond"@en,"Southampton"@en
<http://bk.sport.owl#nathan-redmond>,<http://bk.sport.owl#southampton>,"nathan redmond"@en,"Southampton FC"@en
<http://bk.sport.owl#nathan-redmond>,<http://bk.sport.owl#southampton>,"Nathan Redmond"@en,"Southampton"@en
<http://bk.sport.owl#nathan-redmond>,<http://bk.sport.owl#southampton>,"Nathan Redmond"@en,"Southampton FC"@en
<http://bk.sport.owl#nathan-redmond>,<http://bk.sport.owl#southampton>,"Redmond","Southampton"@en
<http://bk.sport.owl#nathan-redmond>,<http://bk.sport.owl#southampton>,"Redmond","Southampton FC"@en
<http://bk.sport.owl#jesper-karlsson>,<http://bk.sport.owl#if-elfsborg>,"Jesper Karlsson"@en,"IF Elfsborg"@en
<http://bk.sport.owl#jesper-karlsson>,<http://bk.sport.owl#if-elfsborg>,"jesper karlsson"@en,"IF Elfsborg"@en
<http://bk.sport.owl#aleksandar-scekic>,<http://bk.sport.owl#fk-partizan-belgrade>,"aleksandar scekic"@en,"FK Partizan Belgrade"@en
<http://bk.sport.owl#aleksandar-scekic>,<http://bk.sport.owl#fk-partizan-belgrade>,"Aleksandar Scekic"@en,"FK Partizan Belgrade"@en
<http://bk.sport.owl#jannik-skov-hansen>,<http://bk.sport.owl#randers>,"Jannik Skov Hansen"@en,"Randers FC"@en
<http://bk.sport.owl#stipe-vucur>,<http://bk.sport.owl#hnk-hajduk-split>,"Stipe Vucur"@en,"HNK Hajduk Split"@en
<http://bk.sport.owl#stipe-vucur>,<http://bk.sport.owl#hnk-hajduk-split>,"stipe vucur"@en,"HNK Hajduk Split"@en
<http://bk.sport.owl#ezequiel-avila>,<http://bk.sport.owl#sd-huesca-\u00A0>,"ezequiel avila"@en,"SD Huesca \u00A0"@en
<http://bk.sport.owl#kevin-r\u00FCegg>,<http://bk.sport.owl#fc-z\u00FCrich>,"Kevin R\u00FCegg"@en,"FC Z\u00FCrich"@en
<http://bk.sport.owl#roman-vales>,<http://bk.sport.owl#fc-bohemians-prag-1905>,"roman vales"@en,"FC Bohemians Prag 1905"@en
<http://bk.sport.owl#roman-vales>,<http://bk.sport.owl#fc-bohemians-prag-1905>,"Roman Vales"@en,"FC Bohemians Prag 1905"@en
<http://bk.sport.owl#marvelous-nakamba>,<http://bk.sport.owl#club-brugge-kv>,"Marvelous Nakamba"@en,"Club Brugge KV"@en
<http://bk.sport.owl#marvelous-nakamba>,<http://bk.sport.owl#club-brugge-kv>,"marvelous nakamba"@en,"Club Brugge KV"@en
