a,la
<http://bk.sport.owl#bartosz-salamon>,"Salamon"
<http://bk.sport.owl#evgeni-kharin>,"Evgeni Kharin"@en
<http://bk.sport.owl#evgeni-kharin>,"evgeni kharin"@en
<http://bk.sport.owl#ezequiel-munoz>,"ezequiel munoz"@en
<http://bk.sport.owl#jacob-lungi-sorensen>,"jacob lungi sorensen"@en
<http://bk.sport.owl#apostolos-skondras>,"apostolos skondras"@en
<http://bk.sport.owl#apostolos-skondras>,"Apostolos Skondras"@en
<http://bk.sport.owl#manolis-papasterianos>,"Manolis Papasterianos"@en
<http://bk.sport.owl#manolis-papasterianos>,"manolis papasterianos"@en
<http://bk.sport.owl#oleg-shatov>,"oleg shatov"@en
<http://bk.sport.owl#oleg-shatov>,"Oleg Shatov"@en
<http://bk.sport.owl#mate-males>,"Mate Males"@en
<http://bk.sport.owl#mate-males>,"mate males"@en
<http://bk.sport.owl#nicky-cadden>,"Nicky Cadden"@en
<http://bk.sport.owl#nicky-cadden>,"nicky cadden"@en
<http://bk.sport.owl#jakub-jankto>,"Jakub Jankto"@en
<http://bk.sport.owl#jakub-jankto>,"jakub jankto"@en
<http://bk.sport.owl#eldis-bajrami>,"Eldis Bajrami"@en
<http://bk.sport.owl#eldis-bajrami>,"eldis bajrami"@en
<http://bk.sport.owl#duje-caleta-car>,"duje caleta car"@en
<http://bk.sport.owl#duje-caleta-car>,"Duje Caleta-Car"@en
<http://bk.sport.owl#jose-pozo>,"jose pozo"@en
<http://bk.sport.owl#troels-klove>,"troels klove"@en
<http://bk.sport.owl#sergi-palencia>,"sergi palencia"@en
<http://bk.sport.owl#sergi-palencia>,"Sergi Palencia"@en
<http://bk.sport.owl#yannick-thoelen>,"yannick thoelen"@en
<http://bk.sport.owl#yannick-thoelen>,"Yannick Thoelen"@en
<http://bk.sport.owl#nehuen-paz>,"nehuen paz"@en
<http://bk.sport.owl#cristian-balgradean>,"Cristian Balgradean"@en
<http://bk.sport.owl#cristian-balgradean>,"cristian balgradean"@en
<http://bk.sport.owl#marvin-compper>,"marvin compper"@en
<http://bk.sport.owl#marvin-compper>,"Marvin Compper"@en
<http://bk.sport.owl#kenneth-vermeer>,"Kenneth Vermeer"@en
<http://bk.sport.owl#kenneth-vermeer>,"kenneth vermeer"@en
<http://bk.sport.owl#recio>,"Recio"@en
<http://bk.sport.owl#recio>,"recio"@en
<http://bk.sport.owl#recio>,"Recio"
<http://bk.sport.owl#tom-glover>,"tom glover"@en
<http://bk.sport.owl#lukas-hasalik>,"lukas hasalik"@en
<http://bk.sport.owl#lukas-hasalik>,"Lukas Hasalik"@en
<http://bk.sport.owl#daniel-pik>,"Daniel Pik"@en
<http://bk.sport.owl#daniel-pik>,"daniel pik"@en
<http://bk.sport.owl#karol-swiderski>,"Karol Swiderski"@en
<http://bk.sport.owl#karol-swiderski>,"karol swiderski"@en
<http://bk.sport.owl#atiba-hutchinson>,"atiba hutchinson"@en
<http://bk.sport.owl#atiba-hutchinson>,"Atiba Hutchinson"@en
<http://bk.sport.owl#vinko-medjimorec>,"Vinko Medjimorec"@en
<http://bk.sport.owl#vinko-medjimorec>,"vinko medjimorec"@en
<http://bk.sport.owl#fausto-grillo>,"Fausto Grillo"@en
<http://bk.sport.owl#fausto-grillo>,"fausto grillo"@en
<http://bk.sport.owl#andre-pedrosa>,"andre pedrosa"@en
<http://bk.sport.owl#dylan-vente>,"Dylan Vente"@en
<http://bk.sport.owl#dylan-vente>,"dylan vente"@en
<http://bk.sport.owl#marko-marin>,"marko marin"@en
<http://bk.sport.owl#marko-marin>,"Marko Marin"@en
<http://bk.sport.owl#marko-marin>,"Marin"
<http://bk.sport.owl#dever-orgill>,"Dever Orgill"@en
<http://bk.sport.owl#dever-orgill>,"dever orgill"@en
<http://bk.sport.owl#ondrej-lehoczki>,"ondrej lehoczki"@en
<http://bk.sport.owl#alexandros-parras>,"alexandros parras"@en
<http://bk.sport.owl#alexandros-parras>,"Alexandros Parras"@en
<http://bk.sport.owl#yannis-tafer>,"yannis tafer"@en
<http://bk.sport.owl#yannis-tafer>,"Yannis Tafer"@en
<http://bk.sport.owl#benjamin-van-leer>,"Benjamin van Leer"@en
<http://bk.sport.owl#benjamin-van-leer>,"benjamin van leer"@en
<http://bk.sport.owl#aaron-martin>,"aaron martin"@en
<http://bk.sport.owl#dedryck-boyata>,"dedryck boyata"@en
<http://bk.sport.owl#dedryck-boyata>,"Dedryck Boyata"@en
<http://bk.sport.owl#eren-karadag>,"eren karadag"@en
<http://bk.sport.owl#mateusz-szwoch>,"Mateusz Szwoch"@en
<http://bk.sport.owl#mateusz-szwoch>,"mateusz szwoch"@en
<http://bk.sport.owl#lucas-pirard>,"Lucas Pirard"@en
<http://bk.sport.owl#lucas-pirard>,"lucas pirard"@en
<http://bk.sport.owl#jean-armel-kana-biyik>,"Jean-Armel Kana-Biyik"@en
<http://bk.sport.owl#jean-armel-kana-biyik>,"jean armel kana biyik"@en
